"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TOMM22",1.38934090022368e-42,0.199275930681746,0.492,0.275,3.35289639450982e-38,"TOMM22"
"CALM3",1.39167425287606e-42,0.197867985607753,0.434,0.22,3.35852747446579e-38,"CALM3"
"FAM69A",1.44282004759529e-42,-0.199634542504549,0.296,0.212,3.48195762086172e-38,"FAM69A"
"ASXL2",1.49792528399652e-42,-0.250350813901999,0.219,0.17,3.6149430878688e-38,"ASXL2"
"ATG3",1.54112695818282e-42,0.0743820592157809,0.353,0.18,3.7192016881826e-38,"ATG3"
"WDR26",1.55661799459125e-42,-0.172129147655898,0.241,0.157,3.75658620634705e-38,"WDR26"
"NDUFB7",1.62403276633239e-42,0.0932173111232248,0.446,0.263,3.91927827498994e-38,"NDUFB7"
"TXNDC11",1.65590543676279e-42,-0.0482831790856074,0.318,0.194,3.99619659053964e-38,"TXNDC11"
"ZNHIT3",1.67185028213581e-42,0.184904024023386,0.39,0.187,4.03467628587835e-38,"ZNHIT3"
"VRK3",1.67795689490255e-42,0.0455538679241974,0.283,0.137,4.04941337446833e-38,"VRK3"
"LARP7",1.71448207245506e-42,-0.116497041639425,0.381,0.263,4.13755958545579e-38,"LARP7"
"NCOA7",1.73487798563233e-42,-0.31800199669746,0.304,0.249,4.1867810427265e-38,"NCOA7"
"LCOR",1.75768640154629e-42,-0.233297114731272,0.311,0.244,4.24182459285166e-38,"LCOR"
"PPP6R2",1.78451018074994e-42,-0.253741870970537,0.279,0.219,4.30655841920384e-38,"PPP6R2"
"YTHDC2",1.81271805113992e-42,-0.316014400681233,0.286,0.24,4.37463247281597e-38,"YTHDC2"
"KAT6B",1.82315867667556e-42,-0.100451331786795,0.373,0.251,4.39982883442113e-38,"KAT6B"
"FUBP1",1.85982876218306e-42,-0.353265173325261,0.31,0.283,4.48832475177639e-38,"FUBP1"
"CSNK1G3",1.87994641826552e-42,-0.28275821314151,0.327,0.265,4.53687469120018e-38,"CSNK1G3"
"SAR1B",1.88440240193555e-42,0.00967751813039874,0.293,0.149,4.54762831659105e-38,"SAR1B"
"CNOT6L",1.90745536068597e-42,0.0900572367870547,0.37,0.199,4.60326202194346e-38,"CNOT6L"
"VRK2",1.92679478547565e-42,-0.351843822762736,0.312,0.281,4.64993385578839e-38,"VRK2"
"AMPD3",1.99351276811814e-42,0.234635997726683,0.207,0.046,4.8109443632995e-38,"AMPD3"
"MAPRE2",2.01173681821725e-42,0.210154093270411,0.457,0.239,4.85492446340368e-38,"MAPRE2"
"ATP5MC1",2.01739038353951e-42,-0.118404069434287,0.417,0.303,4.8685682125959e-38,"ATP5MC1"
"ZNF493",2.04793309222981e-42,-0.530536208234875,0.153,0.209,4.94227693147819e-38,"ZNF493"
"ITM2B",2.05952995484215e-42,-0.0853784348537789,0.679,0.523,4.97026364002057e-38,"ITM2B"
"CLECL1",2.24884282896837e-42,-0.200654288084636,0.345,0.247,5.42713239914937e-38,"CLECL1"
"RASSF1",2.27719259025773e-42,0.0819220112639387,0.408,0.23,5.49554887806899e-38,"RASSF1"
"DOCK2",2.29699471000038e-42,-0.20607844455364,0.325,0.235,5.54333733364392e-38,"DOCK2"
"PHF20L1",2.33021645985798e-42,-0.106065847762606,0.367,0.243,5.62351138257526e-38,"PHF20L1"
"PHF20",2.34262798343943e-42,0.0505899539309584,0.426,0.255,5.65346411243437e-38,"PHF20"
"NELFE",2.42203343931054e-42,0.129738347970596,0.355,0.174,5.84509329908812e-38,"NELFE"
"JAZF1",2.45259310236466e-42,-0.211718844048811,0.386,0.292,5.91884293393663e-38,"JAZF1"
"RAMP1",2.46514585947434e-42,0.251688405539204,0.101,0,5.94913650266943e-38,"RAMP1"
"NDUFB10",2.49626669304093e-42,-0.109288076648912,0.445,0.329,6.02424041031567e-38,"NDUFB10"
"CDK11B",2.50305759900173e-42,0.0775253994604914,0.268,0.12,6.04062890367088e-38,"CDK11B"
"ZNHIT1",2.51110550905871e-42,-0.058438177505759,0.371,0.238,6.06005092501138e-38,"ZNHIT1"
"PHTF1",2.52007152328178e-42,-0.0724904606325331,0.363,0.232,6.08168860713593e-38,"PHTF1"
"SKP1",2.52425824498616e-42,0.192648957699169,0.874,0.663,6.0917924226251e-38,"SKP1"
"DNM1L",2.60480149047557e-42,-0.0743862498894344,0.313,0.186,6.2861674369647e-38,"DNM1L"
"STK10",2.62138062417257e-42,0.102126894082385,0.485,0.283,6.32617786031565e-38,"STK10"
"TRRAP",2.68228393194971e-42,-0.0273820351922055,0.326,0.178,6.47315581297423e-38,"TRRAP"
"CUL1",2.78969521032328e-42,-0.00973500938044214,0.348,0.206,6.73237145107316e-38,"CUL1"
"CMC2",2.88065108572563e-42,0.141296292768905,0.339,0.152,6.95187526518165e-38,"CMC2"
"SRRM2",2.88613909522082e-42,-0.0765718295565549,0.731,0.56,6.96511947849641e-38,"SRRM2"
"BCL9L",2.90641963310438e-42,0.226368793787744,0.197,0.04,7.0140625005708e-38,"BCL9L"
"DLGAP4",2.92877917057394e-42,0.139697351321736,0.39,0.201,7.06802277234608e-38,"DLGAP4"
"ARHGEF3",3.00168153322917e-42,-0.415062284191158,0.325,0.293,7.24395804414196e-38,"ARHGEF3"
"CYC1",3.05166050113298e-42,-0.0017915891735738,0.365,0.222,7.36457228738422e-38,"CYC1"
"NUP50",3.06121444252934e-42,0.0180060120701437,0.265,0.133,7.38762881415605e-38,"NUP50"
"BFAR",3.10710238408125e-42,0.143735022793726,0.415,0.219,7.49837018350327e-38,"BFAR"
"UFD1",3.1724201269102e-42,0.0592614834143075,0.325,0.165,7.65600149227238e-38,"UFD1"
"NDUFAF3",3.22377281921501e-42,0.0550202964165772,0.39,0.227,7.77993094461157e-38,"NDUFAF3"
"FKBP1A",3.31049208229973e-42,0.207944739235648,0.448,0.234,7.98921054221395e-38,"FKBP1A"
"PIAS2",3.47666468659555e-42,-0.372479218358029,0.169,0.162,8.39023488816105e-38,"PIAS2"
"NCOR2",3.5408940705954e-42,0.411381765999206,0.36,0.138,8.54523966056788e-38,"NCOR2"
"USP24",3.59635645592027e-42,-0.231116437827957,0.203,0.152,8.67908703507239e-38,"USP24"
"DDX11",3.6978825740875e-42,-0.130451810352836,0.193,0.128,8.92410001604536e-38,"DDX11"
"ORMDL2",3.69978524670586e-42,0.258437659723682,0.316,0.116,8.92869173587526e-38,"ORMDL2"
"CXXC5",3.83469712942747e-42,-0.0528049383951479,0.663,0.494,9.25427458244732e-38,"CXXC5"
"RPAP3",3.84114050030821e-42,-0.0471457999742275,0.269,0.144,9.26982436939381e-38,"RPAP3"
"MICAL1",3.93684291075296e-42,-0.0191745079807444,0.378,0.223,9.50078299652011e-38,"MICAL1"
"ZNF394",4.00116982654528e-42,-0.093680549962658,0.435,0.302,9.65602314240173e-38,"ZNF394"
